,Brand,model_name,color,seller,Storage_in_GB,RAM,Screen_Size_inches,Camera,Battery_capactiy,current_price,product_url,img_url
10,SAMSUNG,Galaxy S24 Ultra,Titanium Black,Amazon,256,12GB,,,,"1,200.00",https://www.amazon.eg/-/en/SAMSUNG-Android-Smartphone-Storage-Battery/dp/B0CQZ22Q7L,https://m.media-amazon.com/images/I/719HV2e6-sL._AC_SL1500_.jpg
11,Itel,A58 Pro,multi,Amazon,32,2GB,,,,"3,725.00",https://www.amazon.eg/-/en/Itel-A58-32GB-6-66-Inches/dp/B09TVT8ZL8,https://m.media-amazon.com/images/I/41-h5jK4PlL._AC_SL1000_.jpg
12,Generic,1,White,Amazon,15,,,,,694,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfbXRmX2Jyb3dzZTozMDAxNTE4OTAwOTMzMzI6OjA6Og&url=%2FDual-B310-2G-Mobile-Phone-White%2Fdp%2FB0CYDSRKKK%2Fref%3Dsr_1_13_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/61j4wLZg8CL._AC_SL1280_.jpg
13,Generic,105,Black,Amazon,1,,,,,535,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfbXRmX2Jyb3dzZTozMDAxMzI1NTIzMTQ3MzI6OjA6Og&url=%2FMobile-105-Phone-105-Black-Dual-SIM%2Fdp%2FB0CV9TRH4W%2Fref%3Dsr_1_14_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/61XT0TmtFJL._AC_SL1500_.jpg
14,Samsung,Samsung Galaxy Z Fold 5,Phantom Black,Amazon,256,12GB,,,4400,"65,450.00",https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfbXRmX2Jyb3dzZTozMDAxNTM2Njc3MzQ4MzI6OjA6Og&url=%2FSamsung-Galaxy-Android-Smartphone-Phantom%2Fdp%2FB0CC9VZDVS%2Fref%3Dsr_1_15_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/7102NAlM6FL._AC_SL1500_.jpg
15,SAMSUNG,Samsung Galaxy A05 LTE,Black,Amazon,64,4GB,,,,"4,999.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CP45WBMP,https://m.media-amazon.com/images/I/71dYQdmhwFL._AC_SL1500_.jpg
16,SAMSUNG,Samsung Galaxy A25 5G,Light Blue,Amazon,256,8GB,,,,"10,999.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CQ5BYHWY,https://m.media-amazon.com/images/I/614qsXB-XUL._AC_SL1500_.jpg
17,Samsung,Galaxy-A15,Black,Amazon,256,8GB,,,,"8,985.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-256GGB-Inches/dp/B0CQJZ76X9,https://m.media-amazon.com/images/I/514nSB8S9pL._AC_SL1000_.jpg
18,Samsung,Samsung Galaxy A15,Light Blue,Amazon,128,6GB,,,,"7,325.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-128GB-Inches/dp/B0CQ5CZ346,https://m.media-amazon.com/images/I/61cl1NEIrdL._AC_SL1500_.jpg
19,realme,realme 11 5g,Glory Black,Amazon,8,8GB,,,,"10,180.00",https://www.amazon.eg/-/en/Realme-Dual-SIM-256GB-Glory-Black/dp/B0CGJ3N268,https://m.media-amazon.com/images/I/71VVj2qIIgL._AC_SL1500_.jpg
20,realme,Realme C53,Champion Gold,Amazon,8,GB,,,,"6,999.00",https://www.amazon.eg/-/en/Realme-Dual-SIM-256GB-Champion-Gold/dp/B0CNLRD3SY,https://m.media-amazon.com/images/I/81ZZ+2aDSXL._AC_SL1500_.jpg
21,SAMSUNG,Galaxy-A05,Black,Amazon,128,6GB,,,5000,"5,899.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CR6BZHYC,https://m.media-amazon.com/images/I/61xn0PNMjIL._AC_SL1485_.jpg
22,Samsung,Samsung Galaxy A15,Black,Amazon,128,6GB,,,,50,https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-128GB-Inches/dp/B0CQ5BMBGN,https://m.media-amazon.com/images/I/61isHdQ+TDL._AC_SL1500_.jpg
23,realme,Realme C53,Champion Gold,Amazon,128,6GB,,,,"6,299.00",https://www.amazon.eg/-/en/Realme-Dual-SIM-128GB-Champion-Gold/dp/B0C5XJ2HRM,https://m.media-amazon.com/images/I/71uqxJZTm-L._AC_SL1500_.jpg
24,Xiaomi,MZB0E0IEU,Onyx Gray,Amazon,128,8GB,,,5000,"8,499.00",https://www.amazon.eg/-/en/Xiaomi-Redmi-Note-Dual-128GB/dp/B0BZJ2LLGL,https://m.media-amazon.com/images/I/51W1mldZtDL._AC_SL1500_.jpg
25,Nokia,NOKIA 105_DS_BLACK,Black,Amazon,0.03,,,,,475,https://www.amazon.eg/-/en/NOKIA-105-Dual-SIM-Black/dp/B07WXW8V4X,https://m.media-amazon.com/images/I/61LffJw7v4L._AC_SL1500_.jpg
26,Samsung,Samsung Galaxy A54,Awesome White,Amazon,128,8GB,,,5000,"15,444.00",https://www.amazon.eg/-/en/Samsung-Galaxy-A54-Android-Warranty/dp/B0BXNWHSM7,https://m.media-amazon.com/images/I/51ySQH9NhXL._AC_.jpg
27,Apple,Iphone 15,grey,Amazon,256,,,,,"75,000.00",https://www.amazon.eg/-/en/Apple-iPhone-Pro-Max-256/dp/B0CHXSKYN6,https://m.media-amazon.com/images/I/717trh2j6CL._AC_SL1500_.jpg
28,Xiaomi,Redmi Note 13,Green,Amazon,256,8GB,,,,"10,770.00",https://www.amazon.eg/-/en/Redmi-Note-Green-Storage-screen/dp/B0CQKDDCVK,https://m.media-amazon.com/images/I/51Q+-U8vAVL._AC_SL1200_.jpg
29,SAMSUNG,S23 Ultra,Phantom Black,Amazon,256,,,,,"44,980.00",https://www.amazon.eg/-/en/Samsung-Phantom-Smartphone-Manufacturer-Warranty/dp/B0BSLBMCB2,https://m.media-amazon.com/images/I/71iBKcLHXFL._AC_SL1500_.jpg
0,Generic,"105 EG Mobile TA-1459 DS Charcoal Black, Dual Sim",Black,Amazon,1.99,SIM,,,,679,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfYXRmX2Jyb3dzZTozMDAxMzM1MzYwNTY1MzI6OjA6Og&url=%2FMobile-Phone-TA-1459-Charcoal-Ramadan%2Fdp%2FB0CV3GMYY5%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/41ZvwWEkBiL._AC_.jpg
1,Generic,1,Black,Amazon,15,,,,,464,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfYXRmX2Jyb3dzZTozMDAxNTE4OTAwOTM3MzI6OjA6Og&url=%2FMobile-Phone-105-Black-Single%2Fdp%2FB0CY93TDL8%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/513up6tVw5L._AC_SL1500_.jpg
2,Generic,Nokia 110 Dual SIM Mobile,Black,Amazon,,(&&,,,,553,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfYXRmX2Jyb3dzZTozMDAxMDc3NjEzMzY5MzI6OjA6Og&url=%2FMobile-Phone-Black-Ramadan-Kareem%2Fdp%2FB0CQ3PG5WJ%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/41g7zULUMlL._AC_.jpg
3,Nokia,G21,Blue,Amazon,128,4GB,,,,"3,999.00",https://www.amazon.eg/-/en/Nokia-G21-Dual-128GB-Inches/dp/B0B39LMDKP,https://m.media-amazon.com/images/I/71AQ3qEZ-VL._AC_SL1500_.jpg
4,,,,Amazon,,8GB,,,5000,"15,444.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-128GB-Inches/dp/B0BXNW1KFB,https://m.media-amazon.com/images/I/71xU8w3fHJL._AC_SL1500_.jpg
5,SAMSUNG,Samsung Galaxy A05s,Black,Amazon,128,4GB,,,,"5,600.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CP45G7C5,https://m.media-amazon.com/images/I/61jBR+KUEDL._AC_SL1500_.jpg
6,Samsung,Galaxy A54,Awesome Graphite,Amazon,256,8GB,,,5000,"16,840.00",https://www.amazon.eg/-/en/Samsung-Galaxy-A54-Graphite-Warranty/dp/B0BXP126BQ,https://m.media-amazon.com/images/I/71xU8w3fHJL._AC_SL1500_.jpg
7,Samsung,Samsung Galaxy A54,chartreuse,Amazon,256,8GB,,,5000,"17,415.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-256GB-Inches/dp/B0BXNWQZZB,https://m.media-amazon.com/images/I/716FwKy9FlL._AC_SL1500_.jpg
8,SAMSUNG,Samsung Galaxy A05s,Black,Amazon,128,6GB,,,,"6,499.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CP45ZGRK,https://m.media-amazon.com/images/I/61jBR+KUEDL._AC_SL1500_.jpg
9,,,,Amazon,,8GB,,,5000,"15,444.00",https://www.amazon.eg/-/en/Samsung-Galaxy-A54-Android-Awesome/dp/B0BXNW1SP4,https://m.media-amazon.com/images/I/51kQgMblg9L._AC_.jpg
10,SAMSUNG,Galaxy S24 Ultra,Titanium Black,Amazon,256,12GB,,,,"1,200.00",https://www.amazon.eg/-/en/SAMSUNG-Android-Smartphone-Storage-Battery/dp/B0CQZ22Q7L,https://m.media-amazon.com/images/I/719HV2e6-sL._AC_SL1500_.jpg
11,Itel,A58 Pro,multi,Amazon,32,2GB,,,,"3,725.00",https://www.amazon.eg/-/en/Itel-A58-32GB-6-66-Inches/dp/B09TVT8ZL8,https://m.media-amazon.com/images/I/41-h5jK4PlL._AC_SL1000_.jpg
12,Generic,1,White,Amazon,15,,,,,694,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfbXRmX2Jyb3dzZTozMDAxNTE4OTAwOTMzMzI6OjA6Og&url=%2FDual-B310-2G-Mobile-Phone-White%2Fdp%2FB0CYDSRKKK%2Fref%3Dsr_1_13_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-13-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/61j4wLZg8CL._AC_SL1280_.jpg
13,Generic,105,Black,Amazon,1,,,,,535,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfbXRmX2Jyb3dzZTozMDAxMzI1NTIzMTQ3MzI6OjA6Og&url=%2FMobile-105-Phone-105-Black-Dual-SIM%2Fdp%2FB0CV9TRH4W%2Fref%3Dsr_1_14_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-14-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/61XT0TmtFJL._AC_SL1500_.jpg
14,Samsung,Samsung Galaxy Z Fold 5,Phantom Black,Amazon,256,12GB,,,4400,"65,450.00",https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo0MTAyNjg5MjgzMTgwMTA2OjE3MTMyMzgyOTE6c3BfbXRmX2Jyb3dzZTozMDAxNTM2Njc3MzQ4MzI6OjA6Og&url=%2FSamsung-Galaxy-Android-Smartphone-Phantom%2Fdp%2FB0CC9VZDVS%2Fref%3Dsr_1_15_sspa%3Fdib%3DeyJ2IjoiMSJ9.DUgnSqAGmobQ6tHFYzqJOemqOGGwYOhhJ7ada4AUda7pGL8cRLpwzJMIFVlYq5EqwKPGeplp2xTmM6ZVEJoJjkyASEscR1FMSQzl7hWEzAZ7rcGxriC8fatHnQ4IPuZ3BHqZ7kV62bFBDsilH9vYBlCNoW3S27BwAoy02tc1m2Ki5UlkTFq3PqgJYNdtrOrFDMjdW22cNoMcsSdVPJUowvJ40xkIl_tfsbRZRyKCaoOeaHEQZ6IcsG6JLmBtvlSqakwj5QEzmIzakrHEGAzO4KlFKX8Tgy_8pRANh0Gwcmo.4ADE55Oi_48XCwSHs34JmtGaHGvPgO04Btilhb1eZo4%26dib_tag%3Dse%26qid%3D1713238291%26s%3Delectronics%26sr%3D1-15-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,https://m.media-amazon.com/images/I/7102NAlM6FL._AC_SL1500_.jpg
15,SAMSUNG,Samsung Galaxy A05 LTE,Black,Amazon,64,4GB,,,,"4,999.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CP45WBMP,https://m.media-amazon.com/images/I/71dYQdmhwFL._AC_SL1500_.jpg
16,SAMSUNG,Samsung Galaxy A25 5G,Light Blue,Amazon,256,8GB,,,,"10,999.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Android-Smartphone-Storage/dp/B0CQ5BYHWY,https://m.media-amazon.com/images/I/614qsXB-XUL._AC_SL1500_.jpg
17,Samsung,Galaxy-A15,Black,Amazon,256,8GB,,,,"8,985.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-256GGB-Inches/dp/B0CQJZ76X9,https://m.media-amazon.com/images/I/514nSB8S9pL._AC_SL1000_.jpg
18,Samsung,Samsung Galaxy A15,Light Blue,Amazon,128,6GB,,,,"7,325.00",https://www.amazon.eg/-/en/Samsung-Galaxy-Dual-128GB-Inches/dp/B0CQ5CZ346,https://m.media-amazon.com/images/I/61cl1NEIrdL._AC_SL1500_.jpg
19,realme,realme 11 5g,Glory Black,Amazon,8,8GB,,,,"10,180.00",https://www.amazon.eg/-/en/Realme-Dual-SIM-256GB-Glory-Black/dp/B0CGJ3N268,https://m.media-amazon.com/images/I/71VVj2qIIgL._AC_SL1500_.jpg
20,realme,Realme C53,Champion Gold,Amazon,8,GB,,,,"6,999.00",https://www.amazon.eg/-/en/Realme-Dual-SIM-256GB-Champion-Gold/dp/B0CNLRD3SY,https://m.media-amazon.com/images/I/81ZZ+2aDSXL._AC_SL1500_.jpg
